week_start,vaccination_status,lower_bound,mean_delay,upper_bound
2020-11-16,,,,
2020-11-23,,,,
2020-11-30,,,,
2020-12-07,,,,
2020-12-14,,,,
2020-12-21,,,,
2020-12-28,,,,
2021-01-04,,,,
2021-01-11,,,,
2021-01-18,,,,
2021-01-25,,,,
2021-02-01,,,,
2021-02-08,,,,
2021-02-15,One dose,17.779915320718537,20.666666666666668,23.5534180126148
2021-02-22,One dose,0.0,15.5,33.93004792903878
2021-03-01,One dose,13.833989511483274,35.0,56.166010488516726
2021-03-08,One dose,1.320513637801362,24.09090909090909,46.86130454401682
2021-03-15,One dose,5.333104057800249,24.61904761904762,43.90499118029499
2021-03-22,One dose,10.201896920452413,29.555555555555557,48.9092141906587
2021-03-29,One dose,12.777821435824325,28.107142857142858,43.436464278461386
2021-04-05,One dose,10.892409885074464,30.0,49.107590114925536
2021-04-12,One dose,17.59163359790529,42.791666666666664,67.99169973542804
2021-04-19,One dose,22.647193736587507,50.53333333333333,78.41947293007915
2021-04-26,One dose,23.459453247637615,43.03333333333333,62.60721341902905
2021-05-03,One dose,11.224855854946863,33.583333333333336,55.941810811719805
2021-05-10,One dose,29.841266833316173,57.411764705882355,84.98226257844854
2021-05-17,One dose,21.46823779774096,52.89655172413793,84.32486565053489
2021-05-24,One dose,20.782310184789445,63.0,105.21768981521055
2021-05-31,One dose,16.560389036444157,56.875,97.18961096355585
2021-06-07,One dose,23.645080833350207,66.76923076923077,109.89338070511134
2021-06-14,One dose,30.487068678764885,77.73333333333333,124.97959798790178
2021-06-21,One dose,0.0,24.666666666666668,61.39864313456306
2021-06-28,One dose,0.0,16.8125,44.95434979132359
2021-07-05,One dose,0.0,23.4375,62.87952564646971
2021-07-12,One dose,0.0,25.106382978723403,55.73901267077137
2021-07-19,One dose,0.0,38.11764705882353,88.29593214428303
2021-07-26,One dose,4.711792360669698,42.328947368421055,79.9461023761724
2021-08-02,One dose,7.576804353183732,55.022222222222226,102.46764009126072
2021-08-09,One dose,16.90028511440456,55.92307692307692,94.94586873174927
2021-08-16,One dose,25.7888092297147,61.885714285714286,97.98261934171387
2021-08-23,One dose,36.61895164529329,69.33333333333333,102.04771502137336
2021-08-30,One dose,37.92972849487519,67.23529411764706,96.54085974041892
2021-09-06,One dose,60.7778702697826,111.875,162.9721297302174
2021-09-13,One dose,41.51488025433212,81.86666666666666,122.2184530790012
2021-09-20,One dose,57.72757542440752,103.25,148.77242457559248
2021-09-27,One dose,58.83869820489926,94.28235294117647,129.72600767745368
2021-10-04,One dose,41.35762848434433,82.78260869565217,124.20758890696001
2021-10-11,One dose,53.28229887539829,92.31927710843374,131.3562553414692
2021-10-18,One dose,56.71647709498859,90.18859649122807,123.66071588746755
2021-10-25,One dose,61.0638876470816,98.85714285714286,136.65039806720412
2021-11-01,One dose,70.25499613038701,109.4649446494465,148.67489316850597
2021-11-08,One dose,75.8264183123778,117.9304435483871,160.0344687843964
2021-11-08,Two doses,,29.0,
2021-11-15,One dose,83.99804918619016,120.79372197309416,157.58939475999819
2021-11-15,Two doses,25.816722762474,48.1,70.383277237526
2021-11-22,One dose,88.19244987078696,125.72882319499716,163.26519651920736
2021-11-22,Two doses,0.0,40.25,89.22889155730067
2021-11-29,One dose,91.54873641471724,130.3763358778626,169.20393534100796
2021-11-29,Two doses,6.991588824903012,24.258064516129032,41.52454020735505
2021-12-06,One dose,93.88576562342996,132.94230769230768,171.9988497611854
2021-12-06,Two doses,21.887527422527427,23.68421052631579,25.480893630104156
2021-12-13,One dose,98.39444425406958,135.23342175066313,172.07239924725667
2021-12-13,Two doses,0.0,29.8,91.84914626104164
2021-12-20,One dose,92.89152564027728,135.98061389337641,179.06970214647555
2021-12-20,Two doses,1.0571342719807095,14.771428571428572,28.485722870876437
2021-12-27,One dose,84.33567259634927,133.33846153846153,182.3412504805738
2021-12-27,Two doses,0.0,29.503355704697988,76.43467760329409
2022-01-03,One dose,79.6380448490814,132.76490630323678,185.8917677573922
2022-01-03,Two doses,0.0,39.421052631578945,102.54117477176436
2022-01-10,One dose,75.94193284078948,142.24914675767917,208.55636067456885
2022-01-10,Two doses,0.0,66.09909909909909,158.08091103196836
2022-01-17,One dose,64.9953994050392,140.2889733840304,215.58254736302163
2022-01-17,Two doses,0.0,42.181102362204726,111.61662884870654
2022-01-24,One dose,47.7828830282519,137.5372340425532,227.2915850568545
2022-01-24,Two doses,0.0,87.04729729729729,214.4496186625077
2022-01-31,One dose,41.469216035447985,138.31543624161074,235.1616564477735
2022-01-31,Two doses,0.0,71.35772357723577,176.46111764210767
2022-02-07,One dose,36.28990174399905,131.5,226.71009825600095
2022-02-07,Two doses,0.0,101.44339622641509,232.69887812109033
2022-02-14,One dose,17.02648625367776,131.70098039215685,246.37547453063593
2022-02-14,Two doses,0.0,87.25699300699301,197.42035857778683
2022-02-21,One dose,18.325205882162223,137.70738636363637,257.08956684511054
2022-02-21,Two doses,0.0,103.64257028112449,228.48629857367422
2022-02-28,One dose,13.72085727985555,133.81972789115648,253.9185985024574
2022-02-28,Two doses,0.0,115.26388888888889,246.25029723163397
2022-03-07,One dose,22.050031960563075,155.89756097560976,289.7450899906564
2022-03-07,Two doses,0.0,114.73684210526316,238.86537984354507
2022-03-14,One dose,27.5689833507668,145.10169491525423,262.63440647974164
2022-03-14,Two doses,0.0,136.39247311827958,273.6330066757819
2022-03-21,One dose,26.084077287222854,143.01574803149606,259.9474187757693
2022-03-21,Two doses,2.8377094841098653,131.61111111111111,260.38451273811233
2022-03-28,One dose,36.785629498592726,137.69135802469137,238.59708655079
2022-03-28,Two doses,11.751667332897142,142.20909090909092,272.66651448528467
2022-04-04,One dose,34.32056027549203,164.11363636363637,293.9067124517807
2022-04-04,Two doses,16.646242786149088,166.47457627118644,316.3029097562238
2022-04-11,One dose,61.14130208696233,209.58823529411765,358.035168501273
2022-04-11,Two doses,43.70456994262061,165.68421052631578,287.66385111001097
2022-04-18,One dose,47.02601312745256,184.56410256410257,322.10219200075255
2022-04-18,Two doses,36.30465510023055,165.08695652173913,293.8692579432477
2022-04-25,One dose,107.45301734406078,240.47826086956522,373.5035043950696
2022-04-25,Two doses,33.889519216186216,168.825,303.76048078381376
2022-05-02,One dose,91.5118945823634,234.56666666666666,377.6214387509699
2022-05-02,Two doses,39.95756893717683,166.6764705882353,293.3953722392938
2022-05-09,One dose,74.12374560929229,230.1290322580645,386.1343189068367
2022-05-09,Two doses,62.384609868391465,207.97297297297297,353.5613360775545
2022-05-16,One dose,96.34209476052015,241.88888888888889,387.4356830172576
2022-05-16,Two doses,74.18447238384915,135.93103448275863,197.67759658166813
2022-05-23,One dose,90.67980655789364,230.75,370.82019344210636
2022-05-23,Two doses,52.409680840393264,188.875,325.34031915960674
2022-05-30,One dose,80.1943709920767,201.0,321.8056290079233
2022-05-30,Two doses,85.54726401928511,219.625,353.7027359807149
